Synoptic Time,Latitude,Longitude,Intensity,Km/h,Desc
201412100000,13.4,116.4,45,72,
201412091800,13.4,117.5,45,72,
201412091200,13.4,118.6,40,64,
201412090600,13.2,119.2,40,64,
201412090000,13.5,120,40,64,
201412081800,14,120.8,40,64,
201412081200,13.8,121.3,45,72,Tropical Storm
201412080600,13.5,121.8,50,80,
201412080000,13.3,122.7,60,97,Severe Tropical Storm
201412071800,12.9,123.2,65,105,
201412071200,12.6,123.7,75,121,Typhoon
201412070600,12.3,124.1,85,137,"Severe Typhoon, San Vicente"
201412070000,11.9,124.7,90,145,"Severe Typhoon, Quit Samar"
201412061800,11.9,125.4,100,161,
201412061200,12,125.8,110,177,"Super Typhoon, Landing on Samar"
201412060600,12.1,126.6,110,177,
201412060000,12.2,127.4,120,193,
201412051800,12.1,127.9,130,209,
201412051200,12,128.5,130,209,
201412050600,11.9,128.9,125,201,
201412050000,11.7,129.7,125,201,
201412041800,11.4,130.4,145,233,
201412041200,11,131.3,150,241,
201412040600,10.4,132.4,155,249,
201412040000,9.8,133.9,155,249,
201412031800,9.3,135.2,130,209,
201412031200,8.7,136.8,100,161,
201412030600,8.3,138.6,100,161,
201412030000,7.5,140.5,90,145,
201412021800,6.6,142.1,85,137,
201412021200,6.1,143.5,70,113,
201412020600,6.2,145.1,60,97,
201412020000,5.9,147,55,89,
201412011800,5.9,149.1,45,72,
201412011200,5.5,150.7,35,56,
201412010600,4.9,152.1,35,56,
201412010000,3.8,154,25,40,